qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1.0,18,1,1,22.0,1,1:26.572,1:25.187,1:26.714
2.0,18,9,2,4.0,2,1:26.103,1:25.315,1:26.869
3.0,18,5,1,23.0,3,1:25.664,1:25.452,1:27.079
4.0,18,13,6,2.0,4,1:25.994,1:25.691,1:27.178
5.0,18,2,2,3.0,5,1:25.960,1:25.518,1:27.236
6.0,18,15,7,11.0,6,1:26.427,1:26.101,1:28.527
7.0,18,3,3,7.0,7,1:26.295,1:26.059,1:28.687
8.0,18,14,9,9.0,8,1:26.381,1:26.063,1:29.041
9.0,18,10,7,12.0,9,1:26.919,1:26.164,1:29.593
10.0,18,20,5,15.0,10,1:26.702,1:25.842,\N
11.0,18,22,11,17.0,11,1:26.369,1:26.173,\N
12.0,18,4,4,5.0,12,1:26.907,1:26.188,\N
13.0,18,18,11,16.0,13,1:26.712,1:26.259,\N
14.0,18,6,3,8.0,14,1:26.891,1:26.413,\N
15.0,18,17,9,10.0,15,1:26.914,\N,\N
16.0,18,8,6,1.0,16,1:26.140,\N,\N
17.0,18,21,10,21.0,17,1:27.207,\N,\N
18.0,18,7,5,14.0,18,1:27.446,\N,\N
19.0,18,16,10,20.0,19,1:27.859,\N,\N
20.0,18,11,8,18.0,20,1:28.208,\N,\N
21.0,18,12,4,6.0,21,1:28.330,\N,\N
22.0,18,19,8,19.0,22,1:29.059,\N,\N
23.0,19,13,6,2.0,1,1:35.347,1:34.412,1:35.748
24.0,19,8,6,1.0,2,1:35.645,1:34.188,1:36.230
25.0,19,5,1,23.0,3,1:35.227,1:34.759,1:36.613
26.0,19,1,1,22.0,4,1:35.392,1:34.627,1:36.709
27.0,19,15,7,11.0,5,1:35.205,1:34.960,1:36.711
28.0,19,9,2,4.0,6,1:35.794,1:34.811,1:36.727
29.0,19,2,2,3.0,7,1:35.729,1:34.648,1:36.753
30.0,19,17,9,10.0,8,1:35.440,1:34.967,1:37.009
31.0,19,4,4,5.0,9,1:35.983,1:35.140,1:38.450
32.0,19,10,7,12.0,10,1:35.891,1:35.000,1:39.656
33.0,19,18,11,16.0,11,1:35.847,1:35.208,\N
34.0,19,14,9,9.0,12,1:36.058,1:35.408,\N
35.0,19,12,4,6.0,13,1:36.074,1:35.562,\N
36.0,19,22,11,17.0,14,1:36.198,1:35.622,\N
37.0,19,20,5,15.0,15,1:36.111,1:35.648,\N
38.0,19,3,3,7.0,16,1:35.843,1:35.670,\N
39.0,19,21,10,21.0,17,1:36.240,\N,\N
40.0,19,6,3,8.0,18,1:36.388,\N,\N
41.0,19,7,5,14.0,19,1:36.677,\N,\N
42.0,19,11,8,18.0,20,1:37.087,\N,\N
43.0,19,16,10,20.0,21,1:37.101,\N,\N
44.0,19,19,8,19.0,22,1:37.481,\N,\N
